PUB_FORM_PROPERTY
pk_form_property,label
1001A11LCP00001IIVN3,集团
1001A11LCP00001IIVN4,主键
1001A11LCP00001IIVN5,编码
1001A11LCP00001IIVN6,名称
1001A11LCP00001IIVN7,组织
1001A11LCP00001IIVN8,自定义项17
1001A11LCP00001IIVN9,自定义项1
1001A11LCP00001IIVNA,自定义项2
1001A11LCP00001IIVNB,自定义项3
1001A11LCP00001IIVNC,自定义项4
1001A11LCP00001IIVND,自定义项5
1001A11LCP00001IIVNE,自定义项6
1001A11LCP00001IIVNF,自定义项7
1001A11LCP00001IIVNG,自定义项8
1001A11LCP00001IIVNH,自定义项9
1001A11LCP00001IIVNI,自定义项10
1001A11LCP00001IIVNJ,自定义项11
1001A11LCP00001IIVNK,自定义项12
1001A11LCP00001IIVNL,自定义项13
1001A11LCP00001IIVNM,自定义项14
1001A11LCP00001IIVNN,自定义项15
1001A11LCP00001IIVNO,自定义项16
1001A11LCP00001IIVNP,自定义项18
1001A11LCP00001IIVNQ,自定义项19
1001A11LCP00001IIVNR,自定义项20
1001A11LCP00001IIVNS,创建人
1001A11LCP00001IIVNT,创建时间
1001A11LCP00001IIVNU,最后修改人
1001A11LCP00001IIVNV,最后修改时间
1001A11LCP00001IIVOO,集团
1001A11LCP00001IIVOP,主键
1001A11LCP00001IIVOQ,编码
1001A11LCP00001IIVOR,名称
1001A11LCP00001IIVOS,组织
1001A11LCP00001IIVOT,自定义项17
1001A11LCP00001IIVOU,自定义项1
1001A11LCP00001IIVOV,自定义项2
1001A11LCP00001IIVOW,自定义项3
1001A11LCP00001IIVOX,自定义项4
1001A11LCP00001IIVOY,自定义项5
1001A11LCP00001IIVOZ,自定义项6
1001A11LCP00001IIVP0,自定义项7
1001A11LCP00001IIVP1,自定义项8
1001A11LCP00001IIVP2,自定义项9
1001A11LCP00001IIVP3,自定义项10
1001A11LCP00001IIVP4,自定义项11
1001A11LCP00001IIVP5,自定义项12
1001A11LCP00001IIVP6,自定义项13
1001A11LCP00001IIVP7,自定义项14
1001A11LCP00001IIVP8,自定义项15
1001A11LCP00001IIVP9,自定义项16
1001A11LCP00001IIVPA,自定义项18
1001A11LCP00001IIVPB,自定义项19
1001A11LCP00001IIVPC,自定义项20
1001A11LCP00001IIVPD,创建人
1001A11LCP00001IIVPE,创建时间
1001A11LCP00001IIVPF,最后修改人
1001A11LCP00001IIVPG,最后修改时间
