PUB_QUERY_PROPERTY
pk_query_property,label
1001A11LCP00001IIVNW,组织
1001A11LCP00001IIVNX,编码
1001A11LCP00001IIVNY,名称
1001A11LCP00001IIVNZ,集团
1001A11LCP00001IIVO0,创建人
1001A11LCP00001IIVO1,创建时间
1001A11LCP00001IIVO2,最后修改人
1001A11LCP00001IIVO3,自定义项17
1001A11LCP00001IIVO4,最后修改时间
1001A11LCP00001IIVO5,自定义项1
1001A11LCP00001IIVO6,自定义项2
1001A11LCP00001IIVO7,自定义项3
1001A11LCP00001IIVO8,自定义项4
1001A11LCP00001IIVO9,自定义项5
1001A11LCP00001IIVOA,自定义项6
1001A11LCP00001IIVOB,自定义项7
1001A11LCP00001IIVOC,自定义项8
1001A11LCP00001IIVOD,自定义项9
1001A11LCP00001IIVOE,自定义项10
1001A11LCP00001IIVOF,自定义项11
1001A11LCP00001IIVOG,自定义项12
1001A11LCP00001IIVOH,自定义项13
1001A11LCP00001IIVOI,自定义项14
1001A11LCP00001IIVOJ,自定义项15
1001A11LCP00001IIVOK,自定义项16
1001A11LCP00001IIVOL,自定义项18
1001A11LCP00001IIVOM,自定义项19
1001A11LCP00001IIVON,自定义项20
