PUB_FORM_PROPERTY
pk_form_property,label
1001A11LCP00001J091E,集团
1001A11LCP00001J091F,采购组织
1001A11LCP00001J091G,订单编号
1001A11LCP00001J091H,供应商
1001A11LCP00001J091I,大区
1001A11LCP00001J091J,办事处
1001A11LCP00001J091K,采购员
1001A11LCP00001J091L,订单总数量
1001A11LCP00001J091M,订单总金额
1001A11LCP00001J091N,自定义项1
1001A11LCP00001J091O,自定义项2
1001A11LCP00001J091P,自定义项3
1001A11LCP00001J091Q,自定义项4
1001A11LCP00001J091R,自定义项5
1001A11LCP00001J091S,自定义项6
1001A11LCP00001J091T,自定义项7
1001A11LCP00001J091U,自定义项8
1001A11LCP00001J091V,修订枚举
1001A11LCP00001J091W,自定义项9
1001A11LCP00001J091X,自定义项10
1001A11LCP00001J091Y,自定义项11
1001A11LCP00001J091Z,自定义项12
1001A11LCP00001J0920,自定义项13
1001A11LCP00001J0921,自定义项14
1001A11LCP00001J0922,自定义项15
1001A11LCP00001J0923,自定义项16
1001A11LCP00001J0924,自定义项17
1001A11LCP00001J0925,自定义项18
1001A11LCP00001J0926,自定义项19
1001A11LCP00001J0927,自定义项20
1001A11LCP00001J0928,单据类型
1001A11LCP00001J0929,交易类型pk
1001A11LCP00001J092A,交易类型
1001A11LCP00001J092B,业务类型
1001A11LCP00001J092C,来源单据类型
1001A11LCP00001J092D,审批状态
1001A11LCP00001J092E,审批人
1001A11LCP00001J092F,审批时间
1001A11LCP00001J092G,审批批语
1001A11LCP00001J092H,主键
1001A11LCP00001J092I,来源单据id
1001A11LCP00001J092J,制单人
1001A11LCP00001J092K,单据版本pk
1001A11LCP00001J092L,制单时间
1001A11LCP00001J092M,最后修改时间
1001A11LCP00001J092N,组织多版本
1001A11LCP00001J092O,创建人
1001A11LCP00001J092P,创建时间
1001A11LCP00001J092Q,最后修改人
1001A11LCP00001J092R,最后修改时间1
1001A11LCP00001J092V,行号
1001A11LCP00001J092W,主键
1001A11LCP00001J092X,来源单据行主键
1001A11LCP00001J092Y,来源单据主键
1001A11LCP00001J092Z,来源单据类型
1001A11LCP00001J0930,来源单据号
1001A11LCP00001J0931,物料
1001A11LCP00001J0932,单位
1001A11LCP00001J0933,数量
1001A11LCP00001J0934,单价
1001A11LCP00001J0935,金额
1001A11LCP00001J0936,累计入库数量
1001A11LCP00001J0937,自定义项1
1001A11LCP00001J0938,自定义项2
1001A11LCP00001J0939,自定义项3
1001A11LCP00001J093A,自定义项4
1001A11LCP00001J093B,自定义项5
1001A11LCP00001J093C,自定义项6
1001A11LCP00001J093D,自定义项7
1001A11LCP00001J093E,自定义项8
1001A11LCP00001J093F,自定义项9
1001A11LCP00001J093G,自定义项10
1001A11LCP00001J093H,自定义项11
1001A11LCP00001J093I,自定义项12
1001A11LCP00001J093J,自定义项13
1001A11LCP00001J093K,自定义项14
1001A11LCP00001J093L,自定义项15
1001A11LCP00001J093M,自定义项16
1001A11LCP00001J093N,自定义项17
1001A11LCP00001J093O,自定义项18
1001A11LCP00001J093P,自定义项19
1001A11LCP00001J093Q,自定义项20
1001A11LCP00001J093R,来源单据行号
1001A11LCP00001J093S,行号
1001A11LCP00001J093T,主键
1001A11LCP00001J093U,来源单据行主键
1001A11LCP00001J093V,来源单据主键
1001A11LCP00001J093W,来源单据类型
1001A11LCP00001J093X,来源单据号
1001A11LCP00001J093Y,物料
1001A11LCP00001J093Z,单位
1001A11LCP00001J0940,数量
1001A11LCP00001J0941,单价
1001A11LCP00001J0942,金额
1001A11LCP00001J0943,累计入库数量
1001A11LCP00001J0944,自定义项1
1001A11LCP00001J0945,自定义项2
1001A11LCP00001J0946,自定义项3
1001A11LCP00001J0947,自定义项4
1001A11LCP00001J0948,自定义项5
1001A11LCP00001J0949,自定义项6
1001A11LCP00001J094A,自定义项7
1001A11LCP00001J094B,自定义项8
1001A11LCP00001J094C,自定义项9
1001A11LCP00001J094D,自定义项10
1001A11LCP00001J094E,自定义项11
1001A11LCP00001J094F,自定义项12
1001A11LCP00001J094G,自定义项13
1001A11LCP00001J094H,自定义项14
1001A11LCP00001J094I,自定义项15
1001A11LCP00001J094J,自定义项16
1001A11LCP00001J094K,自定义项17
1001A11LCP00001J094L,自定义项18
1001A11LCP00001J094M,自定义项19
1001A11LCP00001J094N,自定义项20
1001A11LCP00001J094O,来源单据行号
1001A11LCP00001J094P,行号
1001A11LCP00001J094Q,主键
1001A11LCP00001J094R,来源单据行主键
1001A11LCP00001J094S,来源单据主键
1001A11LCP00001J094T,来源单据类型
1001A11LCP00001J094U,来源单据号
1001A11LCP00001J094V,物料
1001A11LCP00001J094W,单位
1001A11LCP00001J094X,数量
1001A11LCP00001J094Y,单价
1001A11LCP00001J094Z,金额
1001A11LCP00001J0950,累计入库数量
1001A11LCP00001J0951,自定义项1
1001A11LCP00001J0952,自定义项2
1001A11LCP00001J0953,自定义项3
1001A11LCP00001J0954,自定义项4
1001A11LCP00001J0955,自定义项5
1001A11LCP00001J0956,自定义项6
1001A11LCP00001J0957,自定义项7
1001A11LCP00001J0958,自定义项8
1001A11LCP00001J0959,自定义项9
1001A11LCP00001J095A,自定义项10
1001A11LCP00001J095B,自定义项11
1001A11LCP00001J095C,自定义项12
1001A11LCP00001J095D,自定义项13
1001A11LCP00001J095E,自定义项14
1001A11LCP00001J095F,自定义项15
1001A11LCP00001J095G,自定义项16
1001A11LCP00001J095H,自定义项17
1001A11LCP00001J095I,自定义项18
1001A11LCP00001J095J,自定义项19
1001A11LCP00001J095K,自定义项20
1001A11LCP00001J095L,来源单据行号
