PUB_QUERY_PROPERTY
pk_query_property,label
1001A11LCP00001J08MA,采购组织
1001A11LCP00001J08MB,订单编号
1001A11LCP00001J08MC,制单人
1001A11LCP00001J08MD,审批状态
1001A11LCP00001J08ME,交易类型pk
1001A11LCP00001J08MF,集团
1001A11LCP00001J08MG,组织多版本
1001A11LCP00001J08MH,制单时间
1001A11LCP00001J08MI,最后修改时间
1001A11LCP00001J08MJ,创建人
1001A11LCP00001J08MK,创建时间
1001A11LCP00001J08ML,最后修改人
1001A11LCP00001J08MM,最后修改时间1
1001A11LCP00001J08MN,单据版本pk
1001A11LCP00001J08MO,单据类型
1001A11LCP00001J08MP,交易类型
1001A11LCP00001J08MQ,审批批语
1001A11LCP00001J08MR,审批人
1001A11LCP00001J08MS,审批时间
1001A11LCP00001J08MT,修订枚举
1001A11LCP00001J08MU,业务类型
1001A11LCP00001J08MV,来源单据id
1001A11LCP00001J08MW,来源单据类型
1001A11LCP00001J08MX,供应商
1001A11LCP00001J08MY,大区
1001A11LCP00001J08MZ,办事处
1001A11LCP00001J08N0,采购员
1001A11LCP00001J08N1,订单总数量
1001A11LCP00001J08N2,订单总金额
1001A11LCP00001J08N3,自定义项1
1001A11LCP00001J08N4,自定义项2
1001A11LCP00001J08N5,自定义项3
1001A11LCP00001J08N6,自定义项4
1001A11LCP00001J08N7,自定义项5
1001A11LCP00001J08N8,自定义项6
1001A11LCP00001J08N9,自定义项7
1001A11LCP00001J08NA,自定义项8
1001A11LCP00001J08NB,自定义项9
1001A11LCP00001J08NC,自定义项10
1001A11LCP00001J08ND,自定义项11
1001A11LCP00001J08NE,自定义项12
1001A11LCP00001J08NF,自定义项13
1001A11LCP00001J08NG,自定义项14
1001A11LCP00001J08NH,自定义项15
1001A11LCP00001J08NI,自定义项16
1001A11LCP00001J08NJ,自定义项17
1001A11LCP00001J08NK,自定义项18
1001A11LCP00001J08NL,自定义项19
1001A11LCP00001J08NM,自定义项20
