PUB_FORM_PROPERTY
pk_form_property,label
1001A11LCP00001IIKPW,集团
1001A11LCP00001IIKPX,大区编码
1001A11LCP00001IIKPY,大区名称
1001A11LCP00001IIKPZ,上级
1001A11LCP00001IIKQ0,自定义项8
1001A11LCP00001IIKQ1,自定义项9
1001A11LCP00001IIKQ2,自定义项10
1001A11LCP00001IIKQ3,自定义项11
1001A11LCP00001IIKQ4,自定义项12
1001A11LCP00001IIKQ5,自定义项13
1001A11LCP00001IIKQ6,自定义项14
1001A11LCP00001IIKQ7,自定义项15
1001A11LCP00001IIKQ8,自定义项16
1001A11LCP00001IIKQ9,自定义项17
1001A11LCP00001IIKQA,主键
1001A11LCP00001IIKQB,自定义项18
1001A11LCP00001IIKQC,自定义项19
1001A11LCP00001IIKQD,自定义项20
1001A11LCP00001IIKQE,组织
1001A11LCP00001IIKQF,自定义项1
1001A11LCP00001IIKQG,启用状态
1001A11LCP00001IIKQH,自定义项2
1001A11LCP00001IIKQI,自定义项3
1001A11LCP00001IIKQJ,自定义项4
1001A11LCP00001IIKQK,自定义项5
1001A11LCP00001IIKQL,自定义项6
1001A11LCP00001IIKQM,自定义项7
1001A11LCP00001IIKQN,创建人
1001A11LCP00001IIKQO,创建时间
1001A11LCP00001IIKQP,最后修改人
1001A11LCP00001IIKQQ,最后修改时间
