PUB_QUERY_PROPERTY
pk_query_property,label
1001A11LCP00001IGUTD,组织
1001A11LCP00001IGUTE,大区编码
1001A11LCP00001IGUTF,大区名称
1001A11LCP00001IGUTG,集团
1001A11LCP00001IGUTH,创建人
1001A11LCP00001IGUTI,创建时间
1001A11LCP00001IGUTJ,最后修改人
1001A11LCP00001IGUTK,最后修改时间
1001A11LCP00001IGUTL,自定义项1
1001A11LCP00001IGUTM,自定义项2
1001A11LCP00001IGUTN,自定义项3
1001A11LCP00001IGUTO,自定义项4
1001A11LCP00001IGUTP,自定义项5
1001A11LCP00001IGUTQ,自定义项6
1001A11LCP00001IGUTR,自定义项7
1001A11LCP00001IGUTS,自定义项8
1001A11LCP00001IGUTT,自定义项9
1001A11LCP00001IGUTU,自定义项10
1001A11LCP00001IGUTV,自定义项11
1001A11LCP00001IGUTW,自定义项12
1001A11LCP00001IGUTX,自定义项13
1001A11LCP00001IGUTY,自定义项14
1001A11LCP00001IGUTZ,自定义项15
1001A11LCP00001IGUU0,自定义项16
1001A11LCP00001IGUU1,自定义项17
1001A11LCP00001IGUU2,自定义项18
1001A11LCP00001IGUU3,自定义项19
1001A11LCP00001IGUU4,自定义项20
