PUB_FORM_PROPERTY
pk_form_property,label
1001A11LCP000007K02H,pk_group
1001A11LCP000007K02I,pk_org
1001A11LCP000007K02J,code
1001A11LCP000007K02K,name
1001A11LCP000007K02L,单据类型
1001A11LCP000007K02M,交易类型pk
1001A11LCP000007K02N,交易类型
1001A11LCP000007K02O,业务类型
1001A11LCP000007K02P,来源单据类型
1001A11LCP000007K02Q,审批状态
1001A11LCP000007K02R,审批人
1001A11LCP000007K02S,审批时间
1001A11LCP000007K02T,审批批语
1001A11LCP000007K02U,主键
1001A11LCP000007K02V,来源单据id
1001A11LCP000007K02W,制单人
1001A11LCP000007K02X,单据版本pk
1001A11LCP000007K02Y,制单时间
1001A11LCP000007K02Z,最后修改时间1
1001A11LCP000007K030,修订枚举
1001A11LCP000007K031,组织多版本
1001A11LCP000007K032,创建人
1001A11LCP000007K033,创建时间
1001A11LCP000007K034,最后修改人
1001A11LCP000007K035,最后修改时间
1001A11LCP000007K039,行号
1001A11LCP000007K03A,主键
1001A11LCP000007K03B,来源行号
1001A11LCP000007K03C,行号
1001A11LCP000007K03D,主键
1001A11LCP000007K03E,来源行号
1001A11LCP000007K03F,行号
1001A11LCP000007K03G,主键
1001A11LCP000007K03H,来源行号
