PUB_QUERY_PROPERTY
pk_query_property,label
1001A11LCP000007JZSU,pk_org
1001A11LCP000007JZSV,code
1001A11LCP000007JZSW,name
1001A11LCP000007JZSX,制单人
1001A11LCP000007JZSY,审批状态
1001A11LCP000007JZSZ,交易类型pk
1001A11LCP000007JZT0,pk_group
1001A11LCP000007JZT1,创建人
1001A11LCP000007JZT2,创建时间
1001A11LCP000007JZT3,最后修改人
1001A11LCP000007JZT4,最后修改时间
1001A11LCP000007JZT5,组织多版本
1001A11LCP000007JZT6,制单时间
1001A11LCP000007JZT7,最后修改时间1
1001A11LCP000007JZT8,单据版本pk
1001A11LCP000007JZT9,单据类型
1001A11LCP000007JZTA,交易类型
1001A11LCP000007JZTB,审批批语
1001A11LCP000007JZTC,审批人
1001A11LCP000007JZTD,审批时间
1001A11LCP000007JZTE,修订枚举
1001A11LCP000007JZTF,业务类型
1001A11LCP000007JZTG,来源单据id
1001A11LCP000007JZTH,来源单据类型
1001A11LCP000007JZY7,申请组织
1001A11LCP000007JZY8,单据号
1001A11LCP000007JZY9,申请人
1001A11LCP000007JZYA,审批状态
1001A11LCP000007JZYB,创建时间
1001A11LCP000007JZYC,最后修改人
1001A11LCP000007JZYD,最后修改时间
1001A11LCP000007JZYE,备注
1001A11LCP000007JZYF,修改客户
1001A11LCP000007JZYG,申请类型
1001A11LCP000007JZYH,交易类型
1001A11LCP000007JZYI,自定义项1
1001A11LCP000007JZYJ,自定义项2
1001A11LCP000007JZYK,自定义项3
1001A11LCP000007JZYL,自定义项4
1001A11LCP000007JZYM,自定义项5
1001A11LCP000007JZYN,自定义项6
1001A11LCP000007JZYO,自定义项7
1001A11LCP000007JZYP,自定义项8
1001A11LCP000007JZYQ,自定义项9
1001A11LCP000007JZYR,自定义项10
1001A11LCP000007JZYS,申请集团
1001A11LCP000007JZYT,目的组织
1001A11LCP000007JZYU,单据类型
1001A11LCP000007JZYV,申请时间
1001A11LCP000007JZYW,最后审批人
1001A11LCP000007JZYX,最后审批时间
1001A11LCP000007JZYY,客户所属组织
1001A11LCP000007JZYZ,客户编码
1001A11LCP000007JZZ0,客户名称
1001A11LCP000007JZZ1,客户基本分类
1001A11LCP000007JZZ2,审批批语
1001A11LCP000007JZZ3,异常信息
1001A11LCP000007JZZ4,创建人
